,primary_fuel,state,county,postcode
575,Gas,Idaho,Madison County,83460.0
576,Solar,Florida,Charlotte County,
577,Biomass,Maryland,Baltimore County,21224.0
578,Oil,Connecticut,Southeastern Connecticut COG,6360.0
579,Gas,Texas,Galveston County,77518.0
580,Gas,Georgia,Mitchell County,31716.0
581,Hydro,South Carolina,Oconee County,
582,Solar,North Carolina,Onslow County,28555.0
583,Solar,Arizona,Maricopa County,85354.0
584,Gas,California,Kern County,
585,Solar,New York,Sullivan County,12723.0
586,Wind,Texas,Kenedy County,78385.0
587,Solar,North Carolina,Nash County,27807.0
588,Gas,Indiana,Porter County,
589,Solar,North Carolina,Alamance County,27258.0
590,Storage,California,Orange County,92630.0
591,Hydro,California,Humboldt County,
592,Solar,North Carolina,Bertie County,27805.0
593,Solar,Maryland,Frederick County,21788.0
594,Solar,California,Kern County,93307.0
595,Solar,California,CAL Fire Kern County,93305.0
596,Solar,California,Kern County,93307.0
597,Solar,California,Kern County,93307.0
598,Hydro,California,Fresno County,
599,Hydro,California,Fresno County,
600,Solar,Oregon,Clackamas County,97002.0
601,Oil,Kansas,Douglas County,66006.0
602,Oil,Kansas,Douglas County,66006.0
603,Coal,Illinois,Randolph County,62217.0
604,Wind,North Dakota,Burleigh County,58579.0
605,Wind,Oklahoma,Beaver County,
606,Hydro,Vermont,Windham County,
607,Solar,Oregon,Yamhill County,97378.0
608,Solar,Florida,Hillsborough County,33547.0
609,Solar,North Carolina,Lee County,27330.0
610,Solar,North Carolina,Robeson County,28340.0
611,Solar,Maryland,Harford County,21130.0
612,Solar,Maryland,Harford County,21130.0
613,Solar,Maryland,Harford County,21130.0
614,Solar,Maryland,Harford County,21130.0
615,Oil,Iowa,Kossuth County,50517.0
616,Solar,Texas,Real County,78873.0
617,Oil,Georgia,Fulton County,30308.0
618,Hydro,Alabama,Tuscaloosa County,
619,Waste,Idaho,Bannock County,83204.0
620,Gas,Florida,Duval County,32207.0
621,Solar,Colorado,Rio Blanco County,
622,Hydro,Maine,York County,4093.0
623,Gas,Wyoming,Campbell County,
624,Hydro,Idaho,Ada County,83716.0
625,Solar,Florida,Brevard County,32976.0
626,Solar,Texas,Pecos County,
627,Hydro,Maine,Androscoggin County,4210.0
628,Solar,North Carolina,Robeson County,28358.0
629,Hydro,Kentucky,Lyon County,42045.0
630,Solar,New York,Oneida County,13304.0
631,Gas,Texas,Nueces County,78418.0
632,Solar,North Carolina,Pasquotank County,
633,Solar,Massachusetts,Barnstable County,2648.0
634,Solar,South Carolina,Barnwell County,29812.0
635,Solar,Minnesota,McLeod County,55395.0
636,Solar,Massachusetts,Worcester County,1074.0
637,Gas,California,Orange County,90680.0
638,Solar,Massachusetts,Worcester County,1005.0
639,Solar,Connecticut,Northeastern Connecticut COG,6277.0
640,Solar,Massachusetts,Worcester County,1537.0
641,Solar,New Jersey,Atlantic County,8240.0
642,Oil,Wisconsin,Barron County,54812.0
643,Gas,Alaska,North Slope,99273.0
644,Gas,Alabama,Mobile County,36512.0
645,Hydro,Utah,Utah County,
646,Hydro,Alabama,Lee County,
647,Solar,Massachusetts,Worcester County,1331.0
648,Wind,Texas,Jack County,76458.0
649,Solar,Vermont,Orleans County,5839.0
650,Wind,Iowa,Worth County,
651,Solar,Florida,Polk County,33830.0
652,Hydro,Colorado,Eagle County,
653,Solar,Massachusetts,Essex County,1922.0
654,Gas,Montana,Silver Bow County,
655,Oil,New York,Otsego County,13326.0
656,Gas,Texas,Bastrop County,78612.0
657,Gas,New York,Genesee County,14020.0
658,Gas,Mississippi,Panola County,38606.0
659,Hydro,Virginia,Bath County,
660,Storage,Alaska,Fairbanks North Star,99701.0
661,Storage,Ohio,Delaware County,43074.0
662,Gas,Michigan,Calhoun County,49037.0
663,Solar,Vermont,Bennington County,5257.0
664,Solar,North Carolina,Nash County,27809.0
665,Solar,North Carolina,Cleveland County,28086.0
666,Waste,Kentucky,Boone County,41096.0
667,Gas,Mississippi,Warren County,39180.0
668,Solar,North Carolina,Beaufort County,27817.0
669,Waste,Florida,Bay County,
670,Gas,Wisconsin,Ashland County,54806.0
671,Gas,Ohio,Lucas County,43611.0
672,Waste,Ohio,Lucas County,43611.0
673,Wind,Michigan,Emmet County,49701.0
674,Wind,Texas,Kent County,
675,Oil,Florida,Pinellas County,33701.0
676,Solar,North Carolina,Pamlico County,28509.0
677,Gas,New Jersey,Hudson County,7002.0
678,Wind,New Jersey,Hudson County,7002.0
679,Gas,Texas,Harris County,77507.0
680,Gas,Louisiana,Acadia Parish,70515.0
681,Solar,California,Los Angeles County,
682,Solar,California,Los Angeles County,
683,Solar,California,Los Angeles County,
