,State,Year,CO2 Emissions (Million Metric Tons),Sector Name
184,AK,1990,15.49328,Industrial carbon dioxide emissions
185,AK,1990,33.928237,Total carbon dioxide emissions from all sectors
186,AL,2020,2.072646,Commercial carbon dioxide emissions
187,AL,2020,98.308585,Total carbon dioxide emissions from all sectors
188,AL,2020,42.690489,Electric Power carbon dioxide emissions
189,AL,2020,1.902621,Residential carbon dioxide emissions
190,AL,2020,18.034008,Industrial carbon dioxide emissions
191,AL,2020,33.608821,Transportation carbon dioxide emissions
192,AL,2019,2.229468,Commercial carbon dioxide emissions
193,AL,2019,106.250752,Total carbon dioxide emissions from all sectors
194,AL,2019,33.837125,Transportation carbon dioxide emissions
195,AL,2019,2.047132,Residential carbon dioxide emissions
196,AL,2019,19.6717,Industrial carbon dioxide emissions
197,AL,2019,48.465326,Electric Power carbon dioxide emissions
198,AL,2018,20.942864,Industrial carbon dioxide emissions
199,AL,2018,2.254327,Residential carbon dioxide emissions
200,AL,2018,32.946848,Transportation carbon dioxide emissions
201,AL,2018,112.355471,Total carbon dioxide emissions from all sectors
202,AL,2018,2.35297,Commercial carbon dioxide emissions
203,AL,2018,53.858463,Electric Power carbon dioxide emissions
204,AL,2017,2.109312,Commercial carbon dioxide emissions
205,AL,2017,108.594378,Total carbon dioxide emissions from all sectors
206,AL,2017,33.677064,Transportation carbon dioxide emissions
207,AL,2017,1.738412,Residential carbon dioxide emissions
208,AL,2017,20.081307,Industrial carbon dioxide emissions
209,AL,2017,50.988284,Electric Power carbon dioxide emissions
210,AL,2016,2.216571,Commercial carbon dioxide emissions
211,AL,2016,113.983783,Total carbon dioxide emissions from all sectors
212,AL,2016,34.049828,Transportation carbon dioxide emissions
213,AL,2016,1.867282,Residential carbon dioxide emissions
214,AL,2016,20.281408,Industrial carbon dioxide emissions
215,AL,2016,55.568695,Electric Power carbon dioxide emissions
216,AL,2015,20.213918,Industrial carbon dioxide emissions
217,AL,2015,2.129977,Residential carbon dioxide emissions
218,AL,2015,32.332495,Transportation carbon dioxide emissions
219,AL,2015,119.200889,Total carbon dioxide emissions from all sectors
220,AL,2015,2.162168,Commercial carbon dioxide emissions
221,AL,2015,62.362331,Electric Power carbon dioxide emissions
222,AL,2014,122.632268,Total carbon dioxide emissions from all sectors
