,County,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other,Total Households,Median Income,Total Powerplants
14,"Morris County, New Jersey",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180854.0,114732.0,9.0
15,"Bristol County, Massachusetts",31.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,218570.0,67842.0,38.0
16,"Hudson County, New Jersey",14.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251906.0,67154.0,20.0
17,"Olmsted County, Minnesota",2.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61873.0,77270.0,9.0
18,"Allegan County, Michigan",0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44766.0,62853.0,4.0
19,"Johnston County, North Carolina",24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69048.0,58111.0,24.0
20,"Montgomery County, Pennsylvania",3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,314756.0,87304.0,8.0
21,"New York County, New York",0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,764218.0,85071.0,17.0
22,"Madera County, California",5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46282.0,51283.0,13.0
23,"Jefferson County, Alabama",0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259324.0,50709.0,3.0
24,"Randolph County, North Carolina",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57766.0,43154.0,9.0
25,"Kern County, California",57.0,40.0,1.0,6.0,11.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,269147.0,49854.0,120.0
26,"Atlantic County, New Jersey",9.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,97618.0,61777.0,13.0
27,"Burlington County, New Jersey",29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164248.0,87673.0,31.0
28,"Orange County, Florida",6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,460602.0,54107.0,11.0
29,"Allen County, Ohio",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40872.0,51542.0,1.0
30,"Duval County, Florida",5.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,359607.0,52062.0,13.0
31,"Cabell County, West Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,41080.0,33750.0,1.0
32,"Maricopa County, Arizona",27.0,15.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1536579.0,62223.0,51.0
33,"Honolulu County, Hawaii",12.0,0.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,312625.0,81284.0,24.0
34,"Orange County, California",4.0,13.0,0.0,3.0,0.0,0.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,1037312.0,86217.0,33.0
35,"Allegany County, Maryland",0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27177.0,42019.0,2.0
36,"El Paso County, Colorado",5.0,3.0,0.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,258158.0,65370.0,15.0
37,"Brunswick County, North Carolina",2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,56399.0,56181.0,4.0
38,"Santa Clara County, California",7.0,37.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,633811.0,119035.0,52.0
39,"New Castle County, Delaware",2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206101.0,66647.0,11.0
40,"Wayne County, North Carolina",20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47720.0,44347.0,22.0
41,"Talladega County, Alabama",0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31759.0,39731.0,2.0
42,"Calhoun County, Alabama",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44507.0,46763.0,3.0
43,"Riverside County, California",35.0,9.0,0.0,6.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,718733.0,63944.0,77.0
44,"Harford County, Maryland",14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93705.0,80476.0,17.0
45,"Sonoma County, California",6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,188829.0,80409.0,12.0
46,"Spartanburg County, South Carolina",3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115765.0,50985.0,7.0
47,"Suffolk County, New York",21.0,11.0,12.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,482099.0,94750.0,46.0
48,"Solano County, California",11.0,8.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,151127.0,77133.0,32.0
49,"Guadalupe County, Texas",0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55421.0,66486.0,6.0
50,"Middlesex County, Massachusetts",33.0,5.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,599499.0,98555.0,45.0
51,"Pima County, Arizona",20.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,403574.0,51425.0,27.0
52,"Plymouth County, Massachusetts",37.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187608.0,86910.0,43.0
53,"Kent County, Michigan",0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240678.0,61125.0,4.0
54,"Adams County, Colorado",14.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,165730.0,66517.0,18.0
55,"San Bernardino County, California",85.0,13.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,626223.0,60420.0,107.0
56,"Clinton County, New York",4.0,1.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31493.0,58234.0,17.0
57,"Lenawee County, Michigan",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38559.0,56515.0,0.0
58,"Ontario County, New York",9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44414.0,66004.0,10.0
59,"Monterey County, California",2.0,8.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,125518.0,71274.0,18.0
60,"Sacramento County, California",40.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543250.0,63045.0,48.0
61,"Do̱a Ana County, New Mexico",4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75441.0,37144.0,7.0
62,"Scott County, Iowa",0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,64251.0,58129.0,3.0
63,"Calcasieu Parish, Louisiana",0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,78305.0,52319.0,10.0
64,"Yuma County, Arizona",5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74620.0,46798.0,7.0
65,"Jefferson County, Texas",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93735.0,47657.0,8.0
66,"Pueblo County, Colorado",3.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65098.0,43148.0,8.0
67,"Robeson County, North Carolina",39.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45351.0,32729.0,40.0
68,"Summit County, Ohio",0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,226989.0,55419.0,3.0
69,"Orange County, New York",14.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127517.0,79311.0,20.0
70,"Alameda County, California",3.0,10.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,573589.0,96296.0,21.0
71,"Otero County, New Mexico",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23007.0,43887.0,4.0
72,"Dougherty County, Georgia",2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,34179.0,38712.0,4.0
73,"Albany County, New York",6.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124144.0,66204.0,13.0
74,"Stearns County, Minnesota",27.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59708.0,63271.0,30.0
75,"Marshall County, Alabama",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34083.0,41476.0,2.0
76,"Bernalillo County, New Mexico",9.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,264827.0,51005.0,14.0
77,"Natrona County, Wyoming",0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32556.0,60546.0,3.0
78,"Pierce County, Washington",0.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,321268.0,69278.0,7.0
79,"Sandoval County, New Mexico",3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50873.0,54296.0,4.0
80,"Bartow County, Georgia",0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38765.0,54218.0,2.0
81,"Allegheny County, Pennsylvania",0.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537381.0,58625.0,8.0
82,"Armstrong County, Pennsylvania",0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26712.0,45949.0,7.0
83,"Cambria County, Pennsylvania",0.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56023.0,46598.0,7.0
84,"Shelby County, Tennessee",2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347221.0,49647.0,3.0
85,"Washington County, Minnesota",10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92337.0,91866.0,12.0
86,"Lycoming County, Pennsylvania",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46122.0,50909.0,3.0
87,"Winnebago County, Wisconsin",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70008.0,56678.0,1.0
88,"Linn County, Iowa",0.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,89183.0,63149.0,14.0
89,"Dubuque County, Iowa",1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37785.0,61497.0,5.0
90,"Union County, New Jersey",9.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,190138.0,77326.0,15.0
91,"Stanislaus County, California",4.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,173573.0,59514.0,16.0
92,"Tulare County, California",25.0,2.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,137576.0,46266.0,35.0
93,"Howard County, Maryland",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115289.0,111473.0,1.0
94,"Placer County, California",1.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143659.0,80728.0,18.0
95,"San Joaquin County, California",5.0,8.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,226624.0,61164.0,18.0
96,"Seminole County, Florida",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176017.0,64049.0,2.0
97,"Canyon County, Idaho",0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72684.0,47324.0,2.0
98,"Twin Falls County, Idaho",1.0,0.0,0.0,9.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30845.0,51589.0,25.0
99,"Baltimore County, Maryland",8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,317106.0,73805.0,10.0
100,"Butte County, California",3.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88797.0,49061.0,20.0
101,"Dallas County, Texas",0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929078.0,56718.0,3.0
102,"Kent County, Delaware",4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63807.0,57608.0,9.0
103,"Sussex County, Delaware",4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88029.0,61985.0,6.0
104,"Rock County, Wisconsin",1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64878.0,55304.0,6.0
105,"Cole County, Missouri",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29726.0,52609.0,2.0
106,"Contra Costa County, California",7.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,392046.0,95339.0,24.0
107,"San Mateo County, California",0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,264185.0,116653.0,3.0
108,"Santa Cruz County, California",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95940.0,79705.0,1.0
109,"Stafford County, Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47474.0,112795.0,0.0
110,"Napa County, California",2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47848.0,86562.0,4.0
111,"Story County, Iowa",0.0,1.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37689.0,60351.0,13.0
112,"Rutherford County, North Carolina",8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26408.0,40570.0,10.0
113,"Hampshire County, Massachusetts",17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57848.0,67989.0,19.0
114,"Hillsborough County, New Hampshire",0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161414.0,78769.0,7.0
115,"Pasco County, Florida",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207993.0,51347.0,2.0
116,"Madison County, Indiana",4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50751.0,43060.0,7.0
117,"Polk County, Iowa",0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,186777.0,65995.0,7.0
118,"Anderson County, South Carolina",2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76727.0,48593.0,6.0
119,"Chaves County, New Mexico",4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23002.0,44899.0,7.0
120,"Craven County, North Carolina",6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,39866.0,51789.0,7.0
121,"Androscoggin County, Maine",0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45979.0,48286.0,11.0
122,"Catawba County, North Carolina",12.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61828.0,53539.0,15.0
123,"Harnett County, North Carolina",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46661.0,51479.0,8.0
124,"Minnehaha County, South Dakota",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77045.0,61083.0,1.0
125,"Onondaga County, New York",4.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,185709.0,57652.0,8.0
126,"San Juan County, New Mexico",0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41071.0,45942.0,5.0
127,"Wright County, Minnesota",16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,47868.0,79931.0,19.0
128,"Anne Arundel County, Maryland",2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207950.0,97085.0,4.0
129,"Anoka County, Minnesota",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,127305.0,79169.0,2.0
130,"Lucas County, Ohio",2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,178672.0,47308.0,6.0
131,"Cochise County, Arizona",5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48939.0,51816.0,7.0
132,"Clark County, Nevada",28.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,781796.0,57189.0,44.0
133,"Outagamie County, Wisconsin",0.0,4.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74033.0,65564.0,12.0
134,"Chester County, Pennsylvania",4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189506.0,96656.0,4.0
135,"Arapahoe County, Colorado",7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240774.0,75357.0,9.0
136,"Surry County, North Carolina",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29415.0,42438.0,2.0
137,"Chatham County, North Carolina",7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28929.0,57770.0,9.0
138,"Porter County, Indiana",2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64722.0,65747.0,5.0
139,"Lake County, Indiana",4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,184206.0,54981.0,11.0
140,"Trumbull County, Ohio",1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86886.0,46201.0,4.0
141,"Cuyahoga County, Ohio",2.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,544208.0,46784.0,10.0
142,"Lackawanna County, Pennsylvania",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86213.0,49172.0,2.0
143,"Macon County, Illinois",0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42977.0,51970.0,4.0
144,"Lancaster County, Nebraska",1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122954.0,59306.0,8.0
145,"Blue Earth County, Minnesota",10.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26098.0,56716.0,15.0
146,"Peoria County, Illinois",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71371.0,53843.0,2.0
147,"DuPage County, Illinois",0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,341845.0,89521.0,6.0
148,"Chautauqua County, New York",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51985.0,46079.0,4.0
149,"Tarrant County, Texas",1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,703106.0,65052.0,4.0
150,"Caddo Parish, Louisiana",0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95793.0,36165.0,3.0
151,"Bexar County, Texas",10.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,633422.0,54175.0,17.0
152,"Leon County, Florida",1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115193.0,51642.0,3.0
153,"Jasper County, Missouri",0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46784.0,47981.0,4.0
154,"Brazoria County, Texas",0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119770.0,82229.0,8.0
155,"Buncombe County, North Carolina",2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107752.0,50040.0,5.0
156,"Ulster County, New York",3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68822.0,63621.0,7.0
157,"Ashtabula County, Ohio",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36704.0,44173.0,1.0
158,"Randall County, Texas",0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48941.0,62098.0,2.0
159,"Cumberland County, New Jersey",13.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50696.0,52627.0,19.0
160,"Cayuga County, New York",2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30870.0,56599.0,4.0
161,"Butler County, Kansas",1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24385.0,64149.0,5.0
162,"Sussex County, New Jersey",6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53396.0,90026.0,6.0
163,"Pitt County, North Carolina",8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68505.0,45849.0,9.0
164,"Travis County, Texas",2.0,5.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,462632.0,72884.0,11.0
165,"Gaston County, North Carolina",4.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84200.0,49670.0,12.0
166,"Ottawa County, Michigan",1.0,6.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,104281.0,68543.0,11.0
167,"Maui County, Hawaii",3.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53560.0,80241.0,13.0
168,"Rockingham County, North Carolina",5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36175.0,48196.0,8.0
169,"Kings County, California",22.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,43029.0,57555.0,27.0
170,"Lorain County, Ohio",1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120394.0,54932.0,5.0
171,"Highlands County, Florida",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42948.0,35543.0,2.0
