,County,num_solar,num_gas,num_oil,num_hydro,num_wind,num_coal,num_biomass,num_storage,num_cogeneration,num_geothermal,num_petcoke,num_nuclear,num_other
217,"Catawba County, North Carolina",12,0,1,1,0,1,0,0,0,0,0,0,0
218,"Calaveras County, California",0,0,0,5,0,0,0,0,0,0,0,0,0
219,"Harnett County, North Carolina",8,0,0,0,0,0,0,0,0,0,0,0,0
220,"Unorganized Borough, Alaska",0,0,25,7,1,0,0,1,0,0,0,0,0
221,"Minnehaha County, South Dakota",0,1,0,0,0,0,0,0,0,0,0,0,0
222,"Onondaga County, New York",4,2,0,1,0,0,0,1,0,0,0,0,0
223,"San Juan County, New Mexico",0,2,0,1,0,2,0,0,0,0,0,0,0
224,"Cass County, Iowa",0,1,1,0,4,0,0,0,0,0,0,0,0
225,"Wright County, Minnesota",16,0,2,0,0,0,0,0,0,0,0,1,0
226,"Anne Arundel County, Maryland",2,0,0,0,0,2,0,0,0,0,0,0,0
227,"Anoka County, Minnesota",1,0,0,0,0,0,0,1,0,0,0,0,0
228,"Custer County, Nebraska",0,2,2,0,2,0,0,0,0,0,0,0,0
229,"Somerset County, Maine",1,0,0,8,1,0,1,0,0,0,0,0,0
230,"Anson County, North Carolina",7,1,1,0,0,0,0,0,0,0,0,0,0
231,"Lyon County, Minnesota",3,0,1,0,6,0,0,0,0,0,0,0,0
232,"Hale County, Texas",0,2,0,0,1,0,0,0,0,0,0,0,0
233,"Mercer County, North Dakota",0,0,0,0,0,3,0,0,0,0,0,0,0
234,"Harper County, Kansas",0,1,0,0,1,0,0,0,0,0,0,0,0
235,"Lucas County, Ohio",2,2,0,0,0,0,0,0,0,0,2,0,0
236,"Pipestone County, Minnesota",3,0,0,0,23,0,0,0,0,0,0,0,0
237,"Cochise County, Arizona",5,1,1,0,0,0,0,0,0,0,0,0,0
238,"Cherokee County, North Carolina",3,0,0,2,0,0,0,0,0,0,0,0,0
239,"Clark County, Nevada",28,13,0,2,0,0,0,0,1,0,0,0,0
240,"Huron County, Michigan",0,0,3,0,11,1,0,0,0,0,0,0,0
241,"Saint Croix County, Wisconsin",1,0,0,1,0,0,0,0,0,0,0,0,0
242,"Outagamie County, Wisconsin",0,4,0,7,0,0,1,0,0,0,0,0,0
243,"Chester County, Pennsylvania",4,0,0,0,0,0,0,0,0,0,0,0,0
244,"Pope County, Minnesota",8,0,0,0,0,0,0,0,0,0,0,0,0
245,"Guadalupe County, New Mexico",0,0,0,0,1,0,0,0,0,0,0,0,0
246,"Arapahoe County, Colorado",7,1,0,1,0,0,0,0,0,0,0,0,0
247,"Surry County, North Carolina",2,0,0,0,0,0,0,0,0,0,0,0,0
248,"Greene County, North Carolina",4,0,0,0,0,0,0,0,0,0,0,0,0
249,"Chatham County, North Carolina",7,0,0,2,0,0,0,0,0,0,0,0,0
250,"Murray County, Oklahoma",0,0,0,0,2,0,0,0,0,0,0,0,0
251,"Trempealeau County, Wisconsin",1,0,1,0,0,0,0,0,0,0,0,0,0
252,"Darke County, Ohio",1,1,3,0,1,0,0,0,0,0,0,0,0
253,"Porter County, Indiana",2,3,0,0,0,0,0,0,0,0,0,0,0
254,"Lake County, Indiana",4,6,0,0,0,0,0,0,1,0,0,0,0
255,"Trumbull County, Ohio",1,2,1,0,0,0,0,0,0,0,0,0,0
256,"Cuyahoga County, Ohio",2,3,2,0,2,0,1,0,0,0,0,0,0
257,"Lackawanna County, Pennsylvania",0,2,0,0,0,0,0,0,0,0,0,0,0
258,"Clinton County, Iowa",0,0,0,0,0,1,0,0,0,0,0,0,0
259,"Platte County, Nebraska",0,0,0,2,2,1,0,0,0,0,0,0,0
260,"Macon County, Illinois",0,0,1,0,1,2,0,0,0,0,0,0,0
261,"Lancaster County, Nebraska",1,4,0,0,1,2,0,0,0,0,0,0,0
262,"Blue Earth County, Minnesota",10,1,2,1,0,1,0,0,0,0,0,0,0
263,"Peoria County, Illinois",0,1,0,0,0,1,0,0,0,0,0,0,0
264,"DuPage County, Illinois",0,5,0,0,0,0,0,1,0,0,0,0,0
265,"Lafayette County, Wisconsin",0,0,1,0,1,0,0,0,0,0,0,0,0
266,"Dodge County, Minnesota",7,0,0,0,1,0,0,0,0,0,0,0,0
267,"Seward County, Kansas",0,2,0,0,0,0,0,0,0,0,0,0,0
268,"Pope County, Arkansas",0,0,0,1,0,0,0,0,0,0,0,1,0
269,"Chautauqua County, New York",1,1,0,0,1,1,0,0,0,0,0,0,0
270,"Tarrant County, Texas",1,2,0,1,0,0,0,0,0,0,0,0,0
271,"Gilliam County, Oregon",0,0,0,0,10,0,0,0,0,0,0,0,0
272,"Garfield County, Oklahoma",1,0,0,0,3,0,0,0,0,0,0,0,0
273,"Sawyer County, Wisconsin",0,0,1,2,0,0,0,0,0,0,0,0,0
274,"Caddo Parish, Louisiana",0,3,0,0,0,0,0,0,0,0,0,0,0
275,"Columbus County, North Carolina",13,0,0,0,0,0,1,0,0,0,0,0,0
276,"Bexar County, Texas",10,4,0,0,0,2,0,1,0,0,0,0,0
277,"Sheridan County, Wyoming",0,1,0,0,0,0,0,0,0,0,0,0,0
278,"Leon County, Florida",1,2,0,0,0,0,0,0,0,0,0,0,0
279,"Jasper County, Missouri",0,3,0,0,0,1,0,0,0,0,0,0,0
280,"Brazoria County, Texas",0,8,0,0,0,0,0,0,0,0,0,0,0
281,"Windsor County, Vermont",4,0,1,4,0,0,0,0,0,0,0,0,0
282,"Little River County, Arkansas",0,0,0,0,0,0,1,0,0,0,0,0,0
283,"Buncombe County, North Carolina",2,1,0,2,0,0,0,0,0,0,0,0,0
284,"Clark County, Kansas",0,0,1,0,2,0,0,0,0,0,0,0,0
285,"Ulster County, New York",3,0,0,4,0,0,0,0,0,0,0,0,0
286,"Ashtabula County, Ohio",0,1,0,0,0,0,0,0,0,0,0,0,0
287,"Barnes County, North Dakota",0,0,0,0,3,0,0,0,0,0,0,0,0
288,"Steele County, North Dakota",0,0,0,0,2,0,0,0,0,0,0,0,0
289,"Fremont County, Idaho",0,0,0,4,0,0,0,0,0,0,0,0,0
290,"Randall County, Texas",0,0,0,0,2,0,0,0,0,0,0,0,0
291,"Isanti County, Minnesota",1,1,0,0,0,0,0,2,0,0,0,0,0
292,"Greene County, New York",1,2,1,0,0,0,0,0,0,0,0,0,0
293,"Athens-Clarke County, Georgia",0,0,1,1,0,0,0,0,0,0,0,0,0
294,"Cumberland County, New Jersey",13,5,1,0,0,0,0,0,0,0,0,0,0
